"id","advertiser_id","advertiser_name","disclaimer","spend","ad_library_size","date_produced","country_code","currency_units","create_date","update_date"
"ade3947d-739c-43a0-984b-e35deafc1965","528421427241283","Inwonersbelangen","Inwonersbelangen",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"cfb465cb-7352-4b4c-bce4-282400244e46","1498781793769425","Buitenhof","Buitenhof",50,2,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"ba193bd5-5c3c-416d-a73a-a94fc02462f6","214703715217685","Gemeenteraad Eindhoven","Gemeenteraad Eindhoven",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"a0e858c4-7c60-46d1-8f5f-fb90cf428a76","1689538434674496","Jan Klopman","Jan Klopman",50,4,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"47b7175e-899b-45a1-91df-b7d476b6a83f","181667906115731","VVD Waterschap Scheldestromen","VVD Waterschap Scheldestromen",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"64ebf025-252b-4c2e-86a7-bb8178be6a0b","201504833529796","Leefbaar Alkmaar","Leefbaar Alkmaar",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"8d4f09c5-5189-4eb2-802d-78eb0cbf7d3d","102795058943786","Liberaal Hoorn","Liberaal Hoorn",50,3,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"82211d31-900d-462a-a249-929c4b5386d5","1389317844656912","PvdA Tilburg","PvdA Tilburg",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"7e1d2b64-178e-4e7a-beef-08a9099f6621","104043759272006","Police-INTERPOL","These ads ran without a disclaimer",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"a64f1b29-e618-4ea9-a872-53249847797b","320374518118","CDA","CDA",50,6,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"76c45c56-c896-4b8f-ab85-b9717a12d3d9","111361091313","NICABM","These ads ran without a disclaimer",50,25,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"2f3af494-4893-4b5f-9090-4c65354cb709","318502745709789","NoMorePlastic","NoMorePlastic",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"18ea5660-a610-4114-9ad9-b8f1bfbdc953","294901587336825","PVV Fryslan","PVV Fryslan",50,2,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"e83e1cba-3bff-4dd8-9390-a26ee2efae00","291034160913952","Gemeente 's-Hertogenbosch","Gemeente 's-Hertogenbosch",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"7d5ceb10-9363-44ec-8aed-661910e17792","205668852785355","Gemeente Zaanstad","Gemeente Zaanstad",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"5852da6a-bc0c-489b-8821-6cfd52a1ff1b","448159101946405","Gemeentebelang Nunspeet","Gemeentebelang Nunspeet",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"7a41ddd6-35c2-4ce0-9305-02e8f273455b","116709535026239","Debatpodium Arminius","Stichting Arminius / Debatpodium Arminius",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
